Algorithm,Seed,Population,Generation,Solutions,TimeDelta,GD,IGD,HV,S,STE
SMSEMOA,1,400,165,400,36.736573,0.006219723458027832,0.04665030242806226,0.8094531197387838,0.002387861241705456,1.8293517438026985e-05
SMSEMOA,1,400,170,400,36.844448,0.005903613889211141,0.04704697214103889,0.8098549902592636,0.0023947317765740787,1.8630237417570314e-05
SMSEMOA,1,400,175,400,31.265417,0.005939423388223509,0.046322633760479466,0.8115486667974791,0.0024563718720331516,1.9482623252505304e-05
SMSEMOA,1,400,180,400,25.747733,0.005602311139666833,0.04456520826658508,0.8180722452712217,0.002932884939181644,2.680499634064529e-05
SMSEMOA,1,400,185,400,42.46914,0.005579138549104624,0.043452598530299716,0.8181760941500721,0.002981479211030146,2.7700606148970846e-05
SMSEMOA,1,400,190,400,42.550332,0.005524760677683129,0.04327153164336416,0.8182924582401134,0.00272195920254264,2.3142437740872626e-05
SMSEMOA,1,400,195,400,29.940073,0.005623881621359476,0.04173472492685437,0.82038310365976,0.002130064951195047,1.3537365079029835e-05
SMSEMOA,1,400,200,400,36.201012,0.005721490231584715,0.04146911859904356,0.8204310667713752,0.0024587190185237605,1.8060059522712273e-05
SMSEMOA,1,400,205,400,33.983234,0.005833738349581162,0.04108961364651572,0.8204936948287284,0.0024096623217794455,1.7346575476085892e-05
SMSEMOA,1,400,210,400,27.242244,0.005746920934385833,0.039701322266045926,0.8213156989953666,0.002100126739480479,1.2642377223619171e-05
SMSEMOA,1,400,215,400,38.37009,0.005687758602716499,0.038758703496304066,0.8213751043724602,0.0021443135551423662,1.3179966837392448e-05
SMSEMOA,1,400,220,400,32.752667,0.005639198791931103,0.03887320966179504,0.8219974379339642,0.002162172073567131,1.3509086928791943e-05
SMSEMOA,1,400,225,400,36.700945,0.005383437075294737,0.03987114223090241,0.8284240029107361,0.0018178198715117504,1.0057191031777601e-05
SMSEMOA,1,400,230,400,24.995347,0.005302471195791587,0.03959337954745341,0.828533441058671,0.0018339943881098488,1.023696011195445e-05
SMSEMOA,1,400,235,400,28.021685,0.005371134814685704,0.03823340630650896,0.8321872954300451,0.0019172728144766526,1.1046757834376301e-05
